Name,Translation
aaditya,आदित्य
aarifa,आरिफा
abhishak,अभिषाक
abishek,अबिकेन
ajab,अजाब
ajaj,अजजा
ajim,अजीम
ajmer,अजमेरा
akansh,अकांश
akbar,अक्बर
akram,अक्क्रम
akshita,अक्षिता
altab,अलबबा
ameen,अमीन
amjad,अमद
amreek,अमरीक
amreeta,अमरी
anamika,आनमिका
aniket,अनिकेत
animesh,अनिमेश
anishkaa,अनिष्का
ankala,अंकला
annish,अन्नीश
anshika,अंशिका
anshum,अंशु
araddhna,आरदर्नाश
aradhya,आरधिय
areen,अरीन
arif,आरिफ
arnub,अर्णब
arvinda,अर्विंदा
arzoo,अर्नुंदर
asharam,आशाम
ashiqu,आशी
ashlam,आश्लम
ashman,आशमान
ashsish,आसीश
asruddin,असरुद्दीन
avantika,अवंत्का
avneet,अवनित
babali,बबली
baban,बबान
babupuri,बबूबू
bachcha,बच्चा
balbiri,बालोरीलाल
banju,बंजू
barham,बर्हमी
beeti,बीरी
bhagay,भग्य
bhatia,भतिक
bhola,भोला
bhoomi,भूमि
bhoop,भूप
binpal,बिंतापाल
bipin,बिपनवी
bipnesh,बिप्ेशेश
bir,बीर
biraj,बीराज
birmati,बिरमती
bishan,बिशन
bivla,बिवला
bodu,बोदू
boduram,बोगूराम
brajendra,बेबेन्द्र
bram,ब्रम
bupal,बुपाल
chaman,चमनन
chandesh,चंद्रक्ष
chando,चंद्छ
chandru,चंदुरा
chaubey,चाबूय
chertamani,चेमन्द्रणा
chhamo,छामन
chiranjavi,ररणिके
chunni,चुन्नी
danveer,दनवीर
deba,देही
deendyal,दीभ्तियाल
deep,दीप
deepender,दीपेन्द्र
deni,देनी
deva,देव
deveshwari,देवेश्वरी
devi,देवी
devraj,देवकराज
dhaney,धनय
dharambir,धर्मबीर
dharmveer,धर्मवीर
dhirender,धीरेंद्र
dilip,दिलिप
dimpu,डिमपु
dipeeka,दीपिका
disi,दिसी
divakar,दिवर
dular,दुरुल
dulari,दुरी
dund,दुनजीत
durgashankar,दुर्गांश
etahsaam,एस्हम
faraha,फ़ाम
farha,फ़रहा
fulo,फूलो
gaffur,गफ्बार
ganguly,गुल्ंजिय
gappu,गप्पू
geetu,ग्टू
ghan,घन
gobind,गोंदिन
gonsan,गोन्सन
gulabsha,गुलाबशा
gulbasha,गुलसीष
gulfan,गुलफ़ान
guluram,गुलुराम
gungun,गुंग्न
gupta,गुता
gurmel,गुरुमिल
gurubaksh,गुरुबका
gurucharan,गुरुचन
gyanu,ज्ञाञा
hanni,हन्नी
hanumanram,हुमान
hardam,हरदाम
harleen,हरलबुन
harmani,हरमणि
hasmita,हस्मिता
hem,हेमलि
himansi,हिमांशी
ibrahim,इब्राहीम
ijhar,इजरह
ikrar,इक्रार
ilema,इल्मा
irsad,इरस
ishtkar,इश्तकर
israr,इसरार
jagriti,जगी
jaiprakash,जयप्रकाश
jamrujaha,जमुर्शे
jani,जनी
janid,जनीद
jasvant,जसंत
jasveer,जसवीर
jasvir,जसवीर
javal,जर्वल
jayalalithaa,जयजयंत
jeeya,जीया
jhansi,झंसी
jitin,जीतन
jomiya,जोमीया
joya,जोया
jubed,जुबेद
juna,जुना
junl,जुनेमल
jya,जया
kalip,कलीप
kamal,कमल
kamil,कामील
kamini,कामीनी
kamrudeen,कामरुद्दीन
kapish,कपिश
karunakar,करुणार
kasturi,कस्टि
khalidur,खादुर
kheem,खीम
khetra,खेतर
khusbu,खुशबू
khushabu,खुशबू
khushnudi,खुशबू
khushnuma,खुशन
kishore,किशोर
kokila,कोलाद
koushik,कोशिक
krishka,कृष्ण
kuldeel,कुल्लै
kumkum,कुकुमकी
kunden,कुनु
kusham,कुश्म
labbhi,लब्भी
laka,लाका
lakhamichand,लाखचंद
laskshita,लस्किता
lavkush,लक्ष्बू
lilaram,लिलाराम
lukman,लक्कखु
madharam,मधराम
madhava,मधव
madhuni,मधुनि
mahadevi,मदेवी
mahasingh,महसिंह
mahesh,महेश्
mahipal,माहिपाल
maisan,मशीन
mallika,मालका
malti,मालती
mamata,मामता
manan,मनन
mandan,मंददान
manish,मनीषा
manit,मंडित
manku,मनकू
manmath,मनमथ
mansha,मंता
manuja,मनुजा
marjina,मार्जामिना
masoom,मस्सीमा
mayank,मायकंता
mayushi,मयुषी
megraaj,मेघगाज
mesak,मेक
methun,मेहठान
mhosin,मेहसैन
midhana,मिधना
mithu,मिठ्डू
mohanram,मोहंश
moolchul,मूलबिया
mukkesh,मुकेश
mula,मुला
muntiyaj,मुंतिजया
muslim,मुस्ली
najmin,नाजिम
najre,नजरे
najreen,नजरीन
nanda,नंददा
nanka,नका
narain,नरान
narbahadur,नर्दाबा
naresh,नरेश
nargesh,नरेश
naseema,नसीमा
nathuram,नाथूराम
nausad,नौसद
naveeja,नवीज
navin,नवन
naviya,नन्या
nayaka,नयका
neeru,नीतून
neil,नेली
nicharon,निलचणो[PAD][PAD][PAD][PAD][PAD][PAD][PAD][PAD][PAD][PAD]
nikky,निक्की
niladri,निद्री
nimahe,निमाहदेवी
nirosha,निरोष
nisat,निसात
nittin,नितन
noorjhan,नूरजहाँ
nshima,नृमा
nuraish,नुशरणि
oli,ओली
omesh,ओमेश
omkar,ओंकार
panku,पंकू
pannu,पन्नु
papiya,पपिया
papu,पप्पू
pardeep,परदीप
pargati,परगाती
parniti,पृनिती
parul,पररिलाल
phirdos,फूसद
pintu,पिंट्टू
pooga,पूंडर्
popatlal,पोप्टलाल
pphola,फोखा
prabhat,प्रभात
prabhila,प्रिला
prachi,प्रिच
pramjot,प्रोमत
pramod,प्रोद
prayatan,प्रप्रटान
prem,प्रेमन्द्र
premchand,प्रेमचंद
premo,प्रेमद
prempal,प्रेमपाल
preyojit,प्रेयजीत
pritee,प्रीति
pritika,प्रीतिका
priyanshu,प्रियांशु
puneeta,पुनीता
punkaj,पुंकज
pushkar,पुषार
puspa&,पुष्पा
qadeem,क़ामदी
radheyshyam,राध्यम
raeeyan,रायन
rafal,रफल
ragini,रगिनी
raja,रज
rajkarnta,राजकार्ंत
rajput,राजपुत
raksha,रक्ष
rambarose,रामबोरपाल
rambir,रामबीर
ramli,रामिली
ramulu,रामुनु
rangeeta,रणृता
ranjita,रणिता
rashma,रश्मा
ratn,रत्न
revakshi,रेवण्ड
rihana,रिहाना
rini,रिनी
rinka,रिंका
rony,रोनी
roshanlal,रोशलाल
ruji,रूजी
rukmani,रुकमणि
saalu,सालु
saaniya,सानिया
saddam,सदर्म
safiq,सफीक
sahaja,सहजा
sahajad,सहजाद
saheb,साहब
sahenaj,साहनाज
sahun,साहन
sajni,सजनी
salauddin,सलाफद्दीन
saleem,सलीम
sally,सलिया
saloni,सलनी
samarth,समदार्थ
samim,समीम
samir,समीर
samiron,समरिन
santna,संतना
sapana,सपना
sashi,साशी
sashikala,साक्कष्ल
satrughan,सत्त्रह्ंड
satvik,सत्वीक
satyvrat,सत्यवर
sauni,सानी
shabanm,शबबानम
shadna,शदनति
shahir,शाहिर
shahnaj,शाहनाज
shahruf,शाहरुफ
shakti,शाकिती
shakutal,शकुंतला
shamsher,शमशेर
shan,शन
shanshak,शंशक
shelly,शेलिया
shi,शि
shimpi,शिमैता
shivkumari,शिवश्मारी
shobhit,शोबित
shreemati,श्रीमती
shsi,सीसीश
shyama,श्याम
shyamvati,श्यामतीलाल
shymo,श्यामद
siddharth,सिद्धार्थ
simpi,सिमिता
sirajuddin,सिरुउद्दीन
sivani,शिवनी
siya,सिया
smriti,स्मितिफ
soban,सोबन
somprakash,सोमप्रकाश
sony,सोनय
sourav,ौरव
spna,स्पना
stephen,सटेहान
sufiya,सुफ़िया
sugandha,सुग्ंदहा
sukhavinder,सुखविंदर
sukhpreeet,सुखसप्र
sunny,सुन्नी
tabbasum,तब्बसुम
tajinder,तजिनी
talwar,तलवर
tamana,तम्ना
tamanna,तम्मना
tanish,तनिश
tanuj,तुनज
tanushri,तुशरी
taramati,तमरा
tarnnum,तर्नुम
teena,तीन
tikku,तिकू
tilak,तिलक
tina,त्रिना
tinku,तिन्कू
tofik,तोफिक
upender,उपेंद्र
vahab,वाब
vajid,वजिद
vandhna,वंधना
varda,वर्मदा
vasa,वसई
vashanavi,वश्ष्णवी
verendra,वेरेन्द्र
veshali,वहालेश
vijay,विजय
viney,विवेली
vipta,विता
vrendra,वरेंद्र
waghal,वाघाल
yasin,यासन
yesh,येश
